title,review_text,rating
"A blood-crawling, gut wrenching, exhilarating movie!","This is how I want to see a spy/espionage movie in Indian cinema. Excellent world and character building, with outstanding set pieces. Every single actor played their roles to perfection! Askhay Khanna stands out the most. However, as others mentioned, the role of Ranveer was not to stand out in the first place, and the director and actor executed that perfectly!",9
The Best Film Of 2025 In Bollywood,"Since the beginning Movie pace and Story hook you that much, you'll forget about popcorn on your lap.Background music 10/10, Highly Impressive. I was complimenting while watching itself.Casting 10/10, every actor is fit to the role and each and everyone gives 100%
Story 9/10, After a decade we are witnessing such a good story and no disturbance by any love song in switzerland.Direction 10/10, every single shot is too notch. So impressivePlease watch this film in theatre for better experience in terms of music most. I'm filled with compliments for this film.",9
"After a long time, a good espionage movie","Well, well, well... Pathan, War 2, Singham, and so on and so forth. Pathan was Shahrukh's comeback and we all know his nuances: he drives a movie on his shoulders. Yet, when it came to spy thriller, it was frankly so-so. Then we all know star studded movies like the lastest Singham and War 2... There's only masala with heavy star cast and a very, very little storyline or nothing on the spy topic. I can definitely say, they were mass movies relying on starcast and some CGI.So then comes Dhurandhar. Not to say again but a heavy star studded movie with spy and espionage elements. But the difference, the stars gave phenomenal performances, including the young lady Saira and our own Rakesh Bedi. While everyone applaused Akshaye Khanna, Sanjay Dutt, Arjun Rampal and ofcourse Ranveer Singh, I felt these two side characters were equally good in whatever roles they were offered.Now coming to spy world. The movie showcases what's there, is there. How it works, how things topple upside down due to a slight mistake, or how you may have to take chances, heavy chances to get something done. When you have one and only aim, your chances heavily rely on your guts and brain. Because be it or not, a rotten apple in a crate may leave its rottenness in other apples.Moreover, the movie is shown with the point of view of Indian forces, and some actual incidents, that blend with the overall sentiments and anger of a viewer.Again, there is some gore, but not so much and elaborated like movie Animal. But not so less that you can watch with kids.I did feel little glitches here and there but overall, a wonderful movie. And yes, I am waiting for the next part.On a side note. The movie is long, but you won't yawn anytime during its running time.",9
DHURANDHAR EXPERIENCE 🔥🔥🔥🔥,"A spy action movie with a runtime of 3 hrs 34 minutes approx, it's engrossing without a single moment of boredom, thanks to the robust screenplay and casting of talented performers. Director Aditya Dhar has been successful in ensuring that each character leaves an indelible mark on the viewers.It's not solely a Ranveer Singh show, as the director has ensured each character has a memorable presence. R Madhavan, Arjun Rampal, Akshay Khanna, Sanjay Dutt, and Ranveer Singh deliver performances akin to a north Indian person savoring an authentic south Indian meal, with each bite providing satisfaction. Akshay Khanna, who won hearts with Aurangzeb in Chaava, has again impressed as Rehman Dakait in Dhurandhar. His swag, look, and dialogue delivery are mind-blowing. As the movie progresses, Sanjay Dutt brings a new gear, accelerating the pace with his enjoyable screen presence. R Madhavan and Arjun Rampal have limited screen time but make their presence felt. Sara Arjun delivers a decent performance as the lady love. Ranveer Singh's character development is amazing to watch, and his mass performance will be eagerly anticipated in the second part.From a technical standpoint, Aditya Dhar's direction is astounding, perfectly capturing the essence of Dhurandhar. Sashwat Sachdev's score and music blend seamlessly with the movie's tone. The placement of old Bollywood classics in certain situations is entertaining and thrilling. Vikash Nowlakha's cinematography is commendable, and Shivkumar V Panicker's editing is sharp.",10
Reasons you should watch it in cinemas,"The movie absolutely stands on top of other Bollywood movies in the year 2025 , the movie has it all , great acting, great story, a unique storytelling. The movie is undoubtedly long, but it doesn't feel stretched, the movie has been targeted for violence, but in my opinion , the violence is natural and necessary, we don't have unwanted violence like movies like animal or gangs of Wasseypur . The movie can be criticised only if you have a personal bias against it already , overall I'll suggest you to give the film a try and watch it without any bias , I am sure you'll like it.",10
"Emotion that lingers, action that erupts","The world of Dhurandhar is as mesmerizing as it is dangerous, with every corner of Karachi rendered in cinematic precision. Ranveer Singh delivers a layered performance that anchors the audience amid escalating threats and moral dilemmas. Director Dhar crafts sequences where strategic planning meets brutal action, keeping viewers perpetually on edge. The supporting cast contributes significantly, fleshing out a realistic criminal ecosystem. Cinematography and editing combine to maintain tension, while the score punctuates key moments. The narrative's blend of action, politics, and human drama makes the film a truly immersive experience.",10
Best of all time,"Dhurandhar"" packs a powerful punch - a gritty, high-stakes spy thriller that drags you deep into the murky underworld of Karachi with style, tension and spectacle. Directed by Aditya Dhar, it follows Indian agent Hamza (Ranveer Singh) as he embeds himself deep within the mafia network of Karachi's notorious Lyari gang, attempting to dismantle terror operations from within.From the outset, the film builds a potent atmosphere - dank alleys, ominous conspiracies, and a mounting sense of danger that never quite lets go. The cinematography, drenched in shadow and sharp contrasts, and the stirring background score - sometimes throbbing with urgency, sometimes hauntingly minimal - elevate ordinary frames into moments of nail-biting suspense.Ranveer Singh's performance is perhaps the greatest strength of the film: he plays Hamza with restraint and intensity, letting silence and subtle gestures speak louder than grand dialogues. Supporting cast members - from villains to allies - also deliver convincingly, making the world of ""Dhurandhar"" immersive and convincingly dangerous.That said, the film does have its flaws. At three and a half hours, the runtime occasionally drags, and certain sequences - especially in the second half - feel overdrawn or repetitive. The gritty violence sometimes feels gratuitous, and a few plot threads seem more like setup for a sequel than satisfying arcs in themselves.Despite those drawbacks, ""Dhurandhar"" works when it matters - for its ambition, its mood, and its commitment to telling a volatile story with conviction. It may not be perfect, but it's bold, intense, and rarely dull. For viewers who appreciate raw, uncompromising thrillers with emotional weight and real-world resonance, this is a ride worth taking. Amazing.",10
"A Grand, Ambitious Spectacle Powered by Stellar Performances","Aditya Dhar's Dhurandhar arrives as a bold, painstakingly mounted espionage thriller that thrives on scale, ambition, and sheer cinematic craft. It is a film that demands patience for its towering 214-minute runtime, but richly rewards those who stay with it. With top-notch production values, memorable set pieces, and some of the finest performances of the year, Dhurandhar stands tall as a big-screen experience meant to be felt as much as watched.Inspired by true events, Dhar's story is inherently gripping. The screenplay is layered and compelling, especially in how it maps the journey of an ordinary Indian man who infiltrates the heart of Pakistan's political machinery. The tension is relentless, yet the storytelling never becomes loud or preachy. However, the writing does stretch thin in the first half. Aditya Dhar dialogues are passionate, often theatrical, and suit the film's soaring tone.Dhurandhar is packed with sequences that are crafted for maximum impact. The infiltration episodes are particularly thrilling sharp, suspenseful, and rooted in strategy rather than convenient heroism. The intermission arrives at a nail-biting turning point, leaving audiences gasping. Post-interval, Hamza's descent into madness is exceptionally staged. The finale, a brutal and emotionally charged fight sequence, serves as a fitting crescendo. The only major drawback: the length. At nearly 3 hours and 34 minutes, the film demands more endurance than necessary. A tighter edit could have easily elevated its impact.Ranveer Singh delivers one of the most outstanding performances of his career. He inhabits the character with remarkable intensity and vulnerability. Akshaye Khanna is phenomenal, expressing oceans through the subtlest shifts in his eyes. Sanjay Dutt is electrifying, commanding, and immensely watchable. Arjun Rampal, though limited in screen time, makes every moment count. R. Madhavan is terrific, leaving a lasting impact with his portrayal. Sara Arjun makes a decent debut, though her chemistry with Ranveer feels oddly underdeveloped. Rakesh Bedi, Gaurav Gera, Naveen Kaushik, and Danish Pandor round out the supporting cast with assured performances.Music is a mixed bag but effective. The title track is already a sensation. ""Ishq Jalakar - Karvaan"" emerges as the standout. ""Gehra Hua"" is soothing and well-placed. Cinematography is spectacular, the frames are rich, atmospheric, and visually arresting, making the film feel even larger than its scale. The action Choreography is gritty, dynamic, and rooted in physical realism. A gripping spectacle that could have been a masterpiece with tighter editing.Direction 3.5/5
Acting 4/5
Editing 2.5/5
Story 3.5/5
Screenplay 3.5/5.",7
this will change indian cinema,"Intelligent writing, peak performances, gritty and realistic action. After such a long time, mainstream bollywood finally has a movie which is truly cinema.It's no simple task to construct a nearly 4 hour long movie without losing your audience, yet dhurandhar manages to do exactly that. In fact, the runtime serves as a strength, allowing you to fully immerse yourself in such a dense, complicated, and dark world.I say this will change indian cinema because the film is just so thoughtfully built and so different at the same time. It feels like an experimental take on commercial cinema. There's so much aura farming, but dhar's clever script adds a classy weight to them that just isn't present in other bwood flicks.There are some truly disturbing scenes here, in particular the scene for the 26/11 attack. The shock, the disgust, the sadness. I don't think a film has made me feel so angry in such a long time. Another scene involving arjun rampal's character is straight out of a horror movie. The 18 rating is definitely justified.Don't miss this masterpiece.",9
A breathtaking journey through gangster politics,"First of all I would like to salute the direction and storytelling of this movie. This type of story telling has not been seen before in bollywood. The music mashup, bgm and intro of every character was top notch. First half had all the cuisines for perfect build up for all the characters and story. In Second half all that build up explodes and gives great fight sequence, music, and goosebumps moment. After interval the story just flows and you won't feel like it's been 3:30 hours.Final conclusion: Just don't miss this masterpiece if you are cinema lover, you can't afford to miss this type of storytelling.",10
High octane spy thriller,"A must watch movie if you are a fan of intense spy thrillers. You're going to love it.Ranveer Singh delivers a powerhouse performance and is absolutely on fire.His performance alone is enough to watch movie.The film dives deep into espionage, underworld infiltration, and raw patriotism with tremendous intensity and swagger. Although the runtime feels a bit long at times, the gripping narrative and high-voltage execution keep you engaged throughout.",10
A gritty masterpiece that redefines the Indian spy genre,"If Uri: The Surgical Strike was the roar, Dhurandhar is the bite. Aditya Dhar has returned with a spy thriller that does not just rely on loud patriotism but backs it up with grit, intelligence, and a scale that Indian cinema rarely attempts. Clocking in at over three hours, it is a marathon of a film, but one that leaves you breathless rather than exhausted.This is the Ranveer Singh we have been waiting for. As the covert operative Hamza Ali Mazari, Singh strips away his usual high-energy flamboyance to deliver a performance of simmering intensity. He is quiet, lethal, and emotionally vulnerable. Whether he is navigating the treacherous lanes of Karachi or breaking down in a rare moment of solitude, he anchors the film with a maturity that defines the second act of his career.While Ranveer is the soul, Akshaye Khanna is the electrifying current running through the narrative. As the antagonist Rehman Dakait, Khanna is terrifyingly calm and intellectual, proving once again why he is one of the most underutilized actors in the industry. The face-off scenes between Singh and Khanna are masterclasses in tension, relying on psychological warfare rather than just explosions.What stands out most is the technical brilliance. The film respects the intelligence of the audience, weaving a complex web of espionage involving historical stakes without feeling like a history lesson. The hand-to-hand combat is visceral and realistic, avoiding the gravity-defying stunts often seen in the genre. Shashwat Sachdev's background score is a character in itself - pounding and relentless during the action, yet haunting during the emotional beats.Is it long? Yes. But the runtime is justified by the depth of the world-building. Dhurandhar is a mass entertainer with class sensibilities - a rare beast that satisfies the action junkies and the cinephiles alike. It is a high-octane saga that cements Aditya Dhar as a master of the war-spy genre. A must-watch for anyone who loves grounded, intense cinema.",10
